104-2 Calculus				3月17日	4月14日	5月12日	6月2日	實習課	5月2日	6月10日	Attendance
				quiz(1)	quiz(2)	quiz(3)	quiz(4)	TA	MidtermExam	FinalExam	Attendance
座號	學號	姓名	性別	7%	7%	8%	8%	15%	25%	30%	Times
1	401405008	希瑄彥	男	10	0	5	20	0	55	50	2
2	401550880	張泓丞	男	25	40	70	87	80	46	68	9
3	404550061	張安婕	女	18	15	48	33	86.7	54	79	9
4	404550042	柯政學	男	10	10			13.3	2	0	7
5	404550023	謝文躍	女	35	45	52	97	86.7	55	67	9
6	404550000	張樺玫	男	30	35	90	67	86.7	54	48	9
7	404550057	徐  敬	女	12	10	38	3	80	32	17	9
8	404550075	王亞詠	女	30	45	85	65	93.3	60	77	9
9	404550013	王承庭	男	30	15	72	37	86.7	27	33	7
10	404550001	高羽黛	女	25	10	50		46.7	24	0	1
11	404550189	丁易偉	女	80	100	100	93	93.3	90	93	4
12	404550177	彥氏丞	男	40	20	55	38	86.7	71	53	9
13	404550155	婕　學	女	0	10	40		60	5	0	2
14	404550143	躍庭祐	女	9	0	50	30	60	0	0	6
15	404550161	玫鈞霖	男	25	30	85	53	100	54	72	9
16	404550149	家聿穎	女	47	60	70	82	100	61	75	7
17	404550126	詠吾筑	男	3	5			40	8	0	0
18	404550294	庭馨儀	女	5	0	30		93.3	18	0	3
19	404550272	黛婕西	女	20	13	60	43	86.7	43	62	9
20	404550250	偉茹麥	男	2	20	50	65	80	42	77	5
21	404550238	氏存水	女	0	23	30	7	93.3	45	37	9
22	404550216	家芳榮	女	50	28	80	97	100	35	54	9
23	404550294	嫣玲杰	女	0	0			53.3	0	0	3
24	404550272	美慈蒙	女	13	48	73	65	93.3	45	65	7
25	404550250	鈺玲豪	男	55	25	65	60	100	8	88	9
26	404550215	宜  慈	男	40	58	65	30	100	21	85	9
27	404550287	柯陳渝	男	0	45	53	40	93.3	37	76	9
28	404550361	紀鍾暄	男	50	50	90	68	100	50	93	9
29	404550340	蔡鍾毅	男	35	15	82	28	100	34	71	9
30	404550328	梅林茹	男	25	65	62	41	100	82	65	9
31	404550386	王柯辰	女	45	53	77	57	100	51	70	9
32	404550360	曾紀崴	女	45	55	83	64	100	52	47	9
33	404550344	呂蔡嘉	男	30	40	90	78	100	22	88	7
34	404550322	廖繆傑	男	30	35	100	82	100	51	88	9
35	404550328	李梅祐	男	20	25	55	32	86.7	41	48	7
36	404550369	陳王霖	女	55	73	92	73	100	72	81	9
37	404550420	何瑄穎	男	28	10	35	3	66.7	30	0	7
38	404550431	沈泓霏	女	15	25	53	67	93.3	29	42	9
39	404550442	許安霏	女	53	60	80	72	100	61	62	9
40	404550453	李政宜	男	80	100	85	100	100	95	100	3
