座號	學號	性別	姓名	英文	統計學	軟體入門	保險精算	數值分析	語表	離散數學
1	920541081	女	高婕嘉	63	91	72	98	100	64	12
2	920660451	女	倪儒子	33	60	83	88	100	68	79
3	921190391	女	曾翔家	58	33	87	86	51	49	10
4	921530877	女	宋良楹	54	54	79	100	100	46	29
5	921537146	女	吳潔品	15	67	62	100	100	73	16
6	921451012	女	洪銘學	53	68	58	78	80	55	0
7	922030257	女	林雅潔	60	33	100	86	95	25	58
8	922030448	女	朱新太	82	25	6	96	95	51	16
9	922030497	女	洪苡彥	70	73	48	85	100	58	46
10	922739223	女	洪文依	78	49	100	75	100	75	73
11	923548059	女	林宏　	90	52	55	90	100	88	7
12	923450012	女	李昊軍	10	24	68	86	73	69	35
13	923450046	男	林綺　	100	1	61	100	90	62	0
14	923450079	男	陳玟翎	24	49	64	86	100	58	29
15	923450103	男	曹蓁浩	70	32	54	100	47	49	100
16	923450137	女	柳儀士	0	6	76	82	85	85	82
17	923450160	男	賴君燿	25	84	43	86	91	63	12
18	923450194	女	柯萱至	42	39	66	88	100	38	61
19	923450228	女	黃元庭	11	23	86	98	91	71	21
20	923450251	男	胡甫祖	46	99	25	100	47	83	23
21	923450285	男	張婷詩	30	47	62	87	100	61	45
22	923450319	女	張晨宜	37	0	100	93	47	38	70
23	923450343	女	傅諭奇	35	14	91	98	67	65	53
24	923450376	女	陳筑文	29	0	45	96	90	44	11
25	923450920	女	曾芳怡	47	31	100	80	77	47	13
26	923450467	男	蘇昀芷	51	22	64	73	83	81	6
27	923450491	女	陳齡泓	46	62	100	92	81	50	75
28	923450525	女	呂德郁	58	0	28	93	56	58	18
29	923450558	女	郭瑾宥	85	81	66	100	49	44	70
30	923450582	女	王淳昀	25	41	93	72	70	77	11
31	923450616	女	吳德冠	36	78	56	64	100	40	60
32	923450692	男	鄭瑄瑋	30	26	70	93	9	36	62
33	923450673	女	陳如怡	10	17	100	95	59	68	83
34	923450707	女	黃宇書	49	63	43	72	100	37	31
35	923450764	女	葉瑄霆	0	40	71	85	100	46	94
36	923450798	女	王彥珮	80	51	100	86	69	74	57
37	923450822	女	趙軒品	93	19	85	82	61	50	65
38	923450855	女	詹旭佳	27	37	84	100	100	58	43
39	923450889	女	王銘軒	24	51	100	84	74	78	27
40	923450913	男	吳穎千	55	18	98	94	63	59	22
41	923450947	男	祁潔心	98	57	86	72	39	38	28
42	923450970	女	游諺立	42	23	100	80	79	58	98
43	923451002	男	陳瑄凱	20	22	40	89	100	76	48
44	923451036	女	吳琳棨	35	0	99	85	100	49	45
45	923451069	女	李綺羽	78	50	23	89	79	62	40
46	923451093	女	鄭鴻育	55	55	100	82	100	69	80
47	923451127	女	許戎宗	72	9	100	75	51	35	68
48	923451184	男	劉誼亞	0	54	52	79	60	58	81
49	923451218	女	程霈沐	74	0	44	76	72	43	100
50	923451242	女	張丞婕	13	43	89	100	44	74	83
51	923451275	女	蔡浩晏	33	27	83	86	56	69	0
52	923451309	男	馬陽為	62	36	62	77	100	55	24
53	923451333	女	黃哲柔	39	59	67	97	82	48	19
54	923451366	男	吳婕靖	86	88	38	82	99	71	70
55	923451390	男	孫中曉	93	35	54	97	77	92	26
56	923451424	女	廖霖珮	58	5	74	75	79	61	51
57	923451457	女	沈霖瑋	45	35	67	72	94	26	47
58	923451481	女	余馨繁	73	8	77	68	52	88	29
59	923451515	女	蕭柔舜	8	74	80	84	57	68	36
60	923451549	女	楊萱宗	36	23	37	84	97	38	64
61	923451572	女	吳聰岳	34	80	100	87	72	76	0
62	923451606	女	陳涵亭	64	23	8	96	80	65	35
63	923451630	女	何竣育	62	20	90	100	78	46	70
64	923451663	女	陳雯睿	38	32	97	81	100	43	38
65	923451697	男	吳鈞子	32	0	100	100	68	49	8
66	923451721	女	鄭德昱	43	28	100	100	99	48	43
67	923451754	女	陳羚彥	31	43	89	73	95	68	55
68	923451788	男	謝成明	55	29	71	78	67	58	19
69	923451812	女	馮瑄天	86	46	35	74	100	44	42
70	923451846	女	簡嘉宜	30	23	77	70	55	62	5
71	923459230	女	姝　舒	100	49	100	80	75	37	32
72	923456019	女	祺煥汀	74	0	50	84	100	45	24
73	923456043	女	賢致可	54	25	97	84	71	67	80
74	923456076	男	兒嘉然	47	38	0	64	26	61	13
75	923454514	女	叡祥凱	89	55	83	99	100	73	86
76	923458114	女	驛建豪	60	16	33	79	59	69	89
77	498451560	男	凱兆人	31	40	0	71	100	88	27
78	498454544	男	斌庭燿	0	19	88	89	98	80	13
79	499530169	女	煒滃珂	22	82	89	77	86	59	28
80	499536018	女	雲國毅	55	58	0	94	76	56	43
