104-2 Calculus				3月17日	4月14日	5月12日	6月2日	實習課	5月2日	6月10日	Attendance
				quiz(1)	quiz(2)	quiz(3)	quiz(4)	TA	MidtermExam	FinalExam	Attendance
座號	學號	姓名	性別	7%	7%	8%	8%	15%	25%	30%	Times
1	404550465	史文羽	男	60	81	100	97	100	90	83	6
2	404685071	鄭樺妤	男	80	100	100	92	100	92	97	2
3	404685084	張敬安	男	10	40	62	93	100	65	84	9
4	404685099	何筑亦	女	15	25	40	13	93.3	36	5	9
5	404685100	張  儀	女	30	45	70	61	93.3	29	48	4
6	401550816	雷西萱	男	75	78	67	58	93.3	35	33	9
7	401555528	張麥笙	女	60	33	15	65	87	65	47	5
8	403555042	張水兆	男	0	30	50	80	13		90	9
9	404720052	柯榮品	男	0	0	5		73	5		9
10	404720063	謝卡欣	男	30	25	30	10	60	21	38	4
11	404720074	張莉儷	男	25	10	10	15	73	13	15	9
12	404720005	王恭莞	女	53	25	80	85	80	73	63	9
13	404720016	王琇易	男	15	5	15	90	87	3	52	9
14	404720027	高凱瓊	男	15	40	35	60	80	42	32	9
15	404720038	丁乃愛	男	55	70	85	80	100	49	45	7
16	404720049	張瑞書	女	20	28	10	70	80	36	22	6
17	404720150	曾銘清	男	65	63	15	50	80	57	55	4
18	404720161	劉莞韋	男	95	86	85	75	100	80	82	9
19	404720172	曾易佳	男	80	65	98	75	80	64	80	2
20	404720184	黃瓊品	男	15	0	5	0	73	7	16	5
21	404720195	廖愛靜	男	30	30	20	20	80	14	24	9
22	404720106	詹書飛	男	65	80	80	85	100	63	65	7
23	404720117	劉徐卉	男	65	90	70	65	100	68	64	0
24	404720211	許怡怡	男	30	10	20	20	67	12		3
25	404720427	鄭  芊	男	30	5	10	65	100	35	20	9
26	404720526	楊亞易	女	25				67	0	0	9
27	404720624	張羽廖	男	45	0	30	65	73	55	57	9
28	404720722	楊佳聿	女	30	35	20	50	60	45	63	9
29	404720429	吾靜宜	男	55	20	5	15	73	44	30	3
30	404720527	馨飛羽	男	15	0	45	65	93	44	44	7
31	404720625	婕曾卉	男	10	0	0	66	67	5	0	9
32	404720723	茹呂怡	男	35	50	30	90	100	56	55	9
33	404720821	存廖芊	男	20	15	10	55	80	28	46	9
34	404720929	芳李米	男	35	15	40	65	100	48	50	9
35	404720037	勳  陳	男	20	30	22	60	80	50	38	9
36	404720135	萱何兆	男	35	25	85	55	100	58	70	9
37	404720231	笙沈品	男	40	58	45	70	100	70	46	9
38	404720338	倩許欣	男	50	60	60	30	100	34	68	9
39	404720436	曼李儷	女	60	40	73	90	100	68	87	7
40	404720534	雅清史	女	0	15			60	9		9
41	404720638	恭倩鄭	男	20	15	50	70	100	71	68	7
42	404720736	琇曼張	女	58	40	80	55	100	57	75	9
43	404720834	張雅益	女	60	75	85	85	100	71	65	7
44	404720932	曾林凱	女	55	18	30	50	80	58	15	9
45	404720040	劉杰乃	男	40	43	85	80	100	63	53	9
46	404720147	曾鈞瑞	女	45	40	10	50	93	28	35	3
47	404720245	黃品銘	男	70	15	60	50	100	39	66	6
48	404720343	廖林韋	男	96	55	85	70	100	75	95	2
49	404720541	詹傑仙	女	98	80	98	98	100	96	95	9
50	404685109	許  何	男	88	73	85	100	100	83	83	9
51	404685407	鄭鈺尤	女	80	85	100	85	100	89	95	9
52	404685905	楊宜路	男	48	35	48	98	100	50	62	9
53	404685013	張渝妤	男	0	38	60	40	87	49	25	1
54	404685119	廖暄安	男	50	70	20	85	100	54	69	4
55	499555916	楊毅亦	女	5	35	45	55	87	58	60	3
